"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"16/12/2006","18:00:00",2.79,0.18,237.52,11.8,0,0,18
"16/12/2006","19:00:00",4.07,0.088,231.99,17.4,0,1,17
"16/12/2006","20:00:00",3.206,0.078,232.43,13.8,0,0,16
"16/12/2006","21:00:00",3.314,0.072,236.76,14,0,0,17
"16/12/2006","22:00:00",3.464,0.17,236.03,14.6,0,1,17
"16/12/2006","23:00:00",2.41,0.068,238.9,10,0,0,0
"17/12/2006","00:00:00",1.044,0.152,242.73,4.4,0,2,0
"17/12/2006","01:00:00",1.008,0,242.35,5.4,0,0,0
"17/12/2006","02:00:00",1.334,0.148,242.14,7,0,5,0
"17/12/2006","03:00:00",2.542,0.214,244.06,10.4,0,0,0
"17/12/2006","04:00:00",2.402,0.076,243.18,9.8,0,1,0
"17/12/2006","05:00:00",2.294,0,243.14,10.4,0,0,19
"17/12/2006","06:00:00",2.076,0.206,244.36,9.2,0,0,0
"17/12/2006","07:00:00",0.222,0,244.67,1,0,0,0
"17/12/2006","08:00:00",2.28,0.056,240.9,9.4,0,0,0
"17/12/2006","09:00:00",2.94,0.31,239.09,12.2,0,1,0
"17/12/2006","10:00:00",2.292,0.054,238.03,9.6,0,0,0
"17/12/2006","11:00:00",3.65,0.22,234.55,15.6,1,40,17
"17/12/2006","12:00:00",1.962,0.252,239.73,8.2,0,0,18
"17/12/2006","13:00:00",1.754,0.392,237.65,7.6,0,1,18
"17/12/2006","14:00:00",1.744,0.104,240.38,7.2,0,0,18
"17/12/2006","15:00:00",2.11,0.202,243.11,8.6,0,1,18
"17/12/2006","16:00:00",2.818,0.114,239.01,11.8,2,0,17
"17/12/2006","17:00:00",3.388,0.244,233.82,14.4,0,1,17
"17/12/2006","18:00:00",3.328,0.168,235.86,14,0,0,17
"17/12/2006","19:00:00",4.078,0.3,230.78,17.6,0,0,17
"17/12/2006","20:00:00",2.388,0.166,232.78,10.2,0,0,16
"17/12/2006","21:00:00",3.576,0.252,237.8,15.2,0,2,18
"17/12/2006","22:00:00",2.69,0.31,239.17,11.2,0,1,18
"17/12/2006","23:00:00",1.116,0.344,245.22,4.8,0,0,0
"18/12/2006","00:00:00",0.278,0.126,246.17,1.2,0,2,0
"18/12/2006","01:00:00",0.296,0.13,244.05,1.2,0,0,0
"18/12/2006","02:00:00",0.21,0,244.2,0.8,0,0,0
"18/12/2006","03:00:00",0.21,0,247.42,0.8,0,0,0
"18/12/2006","04:00:00",0.378,0.248,246.08,1.8,0,0,0
"18/12/2006","05:00:00",0.396,0.266,245.82,1.8,0,1,0
"18/12/2006","06:00:00",0.214,0,246.56,0.8,0,0,0
"18/12/2006","07:00:00",0.684,0.156,245.95,2.8,0,1,0
"18/12/2006","08:00:00",2.128,0.152,238.59,8.8,1,0,18
"18/12/2006","09:00:00",3.678,0.288,234.99,15.6,37,2,17
"18/12/2006","10:00:00",1.352,0.09,238.66,5.6,0,0,17
"18/12/2006","11:00:00",1.254,0,239.2,5.2,0,0,18
"18/12/2006","12:00:00",1.734,0.084,242.96,7,0,0,19
"18/12/2006","13:00:00",1.48,0.058,244.03,6,0,0,18
"18/12/2006","14:00:00",0.408,0.082,243.35,1.6,0,0,0
"18/12/2006","15:00:00",1.888,0.092,241.39,7.8,0,0,18
"18/12/2006","16:00:00",1.68,0.074,241.86,6.8,0,0,18
"18/12/2006","17:00:00",1.946,0.088,239.07,8,0,0,17
"18/12/2006","18:00:00",2.786,0.178,237.25,11.8,0,2,17
"18/12/2006","19:00:00",1.456,0,237.09,6,0,0,0
"18/12/2006","20:00:00",1.616,0.234,236.17,6.8,0,1,0
"18/12/2006","21:00:00",3.274,0.076,233.67,14,0,0,17
"18/12/2006","22:00:00",1.556,0.16,237.72,6.6,0,0,0
"18/12/2006","23:00:00",2.502,0,239.2,10.4,0,36,0
"19/12/2006","00:00:00",0.414,0.242,241.19,2,0,1,0
"19/12/2006","01:00:00",1.292,0,239.71,5.4,0,0,18
"19/12/2006","02:00:00",0.326,0.114,242.53,1.4,0,2,0
"19/12/2006","03:00:00",0.328,0.086,245.68,1.6,0,0,0
"19/12/2006","04:00:00",0.244,0,244.01,1,0,0,0
"19/12/2006","05:00:00",0.42,0.23,242.89,2,0,0,0
"19/12/2006","06:00:00",0.244,0,243.34,1,0,0,0
"19/12/2006","07:00:00",1.37,0.148,243.2,5.6,0,0,0
"19/12/2006","08:00:00",2.914,0,235.47,12.4,0,0,17
